ad,odd
add,odd
ad,add
ail,ale
air,heir
err,heir
air,err
aisle,i'll
isle,i'll
aisle,isle
arc,ark
ate,eight
all,awl
aloud,allowed
altar,alter
ant,aunt
arc,ark
bail,bale
ball,bawl
bare,bear
baron,barren
base,bass
bee,be
beat,beet
been,bin
berry,bury
berth,birth
bite,byte
blew,blue
board,bored
boarder,border
born,borne
bow,beau
bowl,bole
boll,bole
bowl,boll
bough,bow
boy,buoy
brake,break
bread,bred
bridal,bridle
broach,brooch
burrow,borough
but,butt
by,buy
bye,by
bye,by
cannon,canon
canvas,canvass
capital,capitol
carrot,caret
carat,caret
carrot,carat
cash,cache
cast,caste
cede,seed
cell,sell
censor,censure
censor,censer
sensor,censure
censure,censer
sensor,censer
censor,sensor
census,senses
cent,scent
sent,scent
cent,sent
cereal,serial
chews,choose
cheap,cheep
chili,chilly
coral,choral
chord,cord
chute,shoot
cite,sight
site,sight
cite,site
close,clothes
coarse,course
compliment,complement
core,corps
council,counsel
creek,crick
creak,crick
creak,creek
crewel,cruel
cymbal,symbol
dam,damn
dear,deer
dew,due
do,dew
dew,do
die,dye
doe,dough
done,dun
dual,dwell
duel,dwell
dual,duel
earn,yarn
urn,yarn
urn,yearn
yearn,yarn
urn,yarn
earn,yearn
eye,aye
i,aye
earn,urn
eight,ate
eye,i
fair,fare
faze,phase
feat,feet
fir,fur
flea,flee
flour,flower
flew,flu
flue,flu
flew,flue
for,four
fore,four
for,fore
forth,fourth
foul,fowl
freeze,frieze
gait,gate
groan,grown
gild,guild
guilt,gilt
new,knew
grate,great
grisly,grizzly
groan,grown
hail,hale
hair,hare
hall,haul
hay,hey
heal,heel
hear,here
heard,herd
hi,high
him,hymn
hoard,horde
hoarse,horse
hole,whole
hour,our
idol,idyll
idle,idyll
new,gnu
knew,gnu
idol,idle
in,inn
incite,insight
its,it’s
kernel,colonel
knead,need
knew,new
knight,night
know,no
knot,not
leach,leech
lead,lid
led,lid
lead,led
lean,lien
lesson,lessen
lie,lye
loan,lone
made,maid
mail,male
maize,maze
rain,reign
rein,reign
rain,rein
main,mane
mall,maul
mantle,mantel
marry,merry
marshal,martial
meet,meat
meddle,medal
mite,might
morn,mourn
naval,navel
nay,neigh
none,nun
oar,ore
oh,awe
owe,awe
oh,owe
one,won
pail,pale
pain,pane
pair,pear
pare,pear
pair,pare
peace,piece
peak,peek
peal,peel
pedal,paddle
peddle,paddle
pedal,peddle
peer,pier
pistil,pistol
plain,plane
pole,poll
pore,pour
principal,principle
profit,prophet
reign,rain
rein,rain
reign,rein
raise,raze
rap,wrap
read,reed
real,reel
read,red
retch,wretch
review,revue
rite,right
write,right
rite,write
ring,wring
road,rode
role,roll
rote,wrote
rung,wrung
rye,wry
sail,sale
scene,seen
sea,see
seam,seem
serf,surf
so,sew
sow,sew
sow,so
shake,sheik
shear,sheer
shoe,shoo
shone,shown
shoot,chute
slay,sleigh
soar,sore
sole,soul
some,sum
son,sun
stair,stare
stake,steak
stationary,stationery
steal,steel
straight,strait
suite,sweet
tale,tail
taught,taut
tea,tee
team,teem
tear,tier
their,there
they're,there
their,they’re
threw,through
thrown,throne
toe,tow
to,too
two,too
to,two
urn,earn
vice,wise
vise,wise
vice,vise
vale,vail
veil,vail
vale,veil
vane,vain
vein,vain
wail,whale
wale,whale
vane,vein
wail,wale
waist,waste
wait,weight
waive,wave
warn,worn
way,weigh
whey,wiegh
way,whey
weak,week
wear,where
ware,where
wear,ware
wet,whet
which,witch
while,wile
whine,wine
wood,would
wrote,rote
yolk,yoke
accessary,accessory
ad,add
ail,ale
air,heir
all,awl
allowed,aloud
alms,arms
altar,alter
arc,ark
aren't,aunt
ate,eight
auger,augur
auk,orc
aural,oral
away,aweigh
ore,or
oar,or
ore,oar
axel,axle
bail,bale
bait,bate
baize,bays
bald,bawled
ball,bawl
band,banned
bard,barred
bare,bear
bark,barque
baron,barren
base,bass
bay,bey
bazaar,bizarre
be,bee
beach,beech
bean,been
beat,beet
beau,bow
beer,bier
bel,belle
bell,belle
bel,bell
berry,bury
berth,birth
bight,byte
bite,byte
bight,bite
billed,build
bitten,bittern
blew,blue
bloc,block
boar,boor
boar,boer
bore,boor
bore,boer
boor,boer
boar,bore
board,bored
boarder,border
bold,bowled
boos,booze
born,borne
bough,bow
boy,buoy
brae,bray
braid,brayed
braise,braze
brays,braze
braise,brays
brake,break
bread,bred
brews,bruise
bridal,bridle
broach,brooch
bur,burr
but,butt
buyer,byre
calendar,calender
call,caul
canvas,canvass
cast,caste
caster,castor
caught,court
caw,corps
core,corps
caw,core
cede,seed
ceiling,sealing
cell,sell
censer,sensor
censor,sensor
censer,censor
cereal,serial
cheap,cheep
check,cheque
choir,quire
chord,cord
clack,claque
clew,clue
climb,clime
close,cloze
coal,kohl
coarse,course
coign,coin
colonel,kernel
complacent,complaisant
complement,compliment
coo,coupe
coo,coop
coup,coupe
coup,coop
coupe,coop
coo,coup
cops,copse
council,counsel
cousin,cozen
creak,creek
crews,cruise
kyu,queue
cue,queue
cue,kyu
curb,kerb
currant,current
cymbol,symbol
dam,damn
days,daze
dear,deer
descent,dissent
desert,dessert
deviser,divisor
dew,due
die,dye
discreet,discrete
doe,dough
doh,dough
doe,doh
done,dun
douse,dowse
draft,draught
dual,duel
earn,urn
eery,eyrie
ewe,you
yew,you
ewe,yew
faint,feint
fah,fur
fah,fir
far,fur
far,fir
fur,fir
fah,far
first,fast
fast,first
first,fist
fair,fare
farther,further
father,further
farther,father
fête,fat
fate,fat
fate,fête
faun,fawn
fay,fey
faze,phase
feat,feet
ferrule,ferule
few,phew
fie,phi
file,phial
find,fined
fir,fur
fizz,phiz
flair,flare
flaw,floor
flea,flee
flex,flecks
flew,flue
flu,flue
flew,flu
floe,flow
flour,flower
foaled,fold
foreword,forward
fort,fought
forth,fourth
foul,fowl
franc,frank
freeze,frieze
friar,fryer
furs,furze
gait,gate
galipot,gallipot
gallop,galop
gamble,gambol
gays,gaze
genes,jeans
gild,guild
gilt,guilt
giro,gyro
gnaw,nor
gneiss,nice
gorilla,guerilla
grate,great
greave,grieve
greys,graze
grisly,grizzly
groan,grown
guessed,guest
hail,hale
hair,hare
hall,haul
hangar,hanger
hart,heart
haw,whore
hoar,whore
haw,hoar
hay,hey
heal,he'll
heal,hell
heel,he'll
heel,hell
he'll,hell
heal,heel
hear,here
herd,hard
heard,herd
he'd,heed
heroin,heroine
hew,hue
hi,high
higher,hire
him,hymn
ho,hoe
hoard,horde
hoarse,horse
holey,wholly
holy,wholly
holey,holy
hour,our
idle,idol
in,inn
indict,indite
it's,its
jewel,joule
key,quay
